Schock, Aaron
Upshur, Abel P.
Schiff, Adam B.
Putnam, Adam H.
Carson, Andre
Weiner, Anthony D.
Kanter, Arnold
Stupak, Bart
Gordon, Bart
Nelson, Ben
Cardin, Benjamin L.
Markey, Betsy
Sutton, Betty
Nelson, Bill
Foster, Bill
Inglis, Bob
Filner, Bob
Corker, Bob
Bright, Bobby
Miller, Brad
Braley, Bruce L.
Dorgan, Byron L.
Rodney, Caesar 
Miller, Candice S.
Fattah, Chaka
Curtis, Charles
Wilson, Charles A.
Rangel, Charles B.
Bohlen, Charles E.
Hughes, Charles Evans
Conrad, Charles Magill
Arthur, Chester A.
Herter, Christian Archibald
Carney, Christopher P.
Murphy, Christopher S.
Powell, Colin
Lummis, Cynthia M.
Kildee, Dale E.
Burton, Dan
Quayle, Dan
Maffei, Daniel B.
Inouye, Daniel K.
Newsom, David
Vitter, David
Dreier, David
Heller, Dean
Watson, Diane E.
Cheney, Dick
Matsui, Doris O.
Hunter, Duncan
Pastor, Ed
Muskie, Edmund
Markey, Edward J.
Norton, Eleanor Holmes
Cantor, Eric
Loomis, Francis B.
Wisner, Frank G.
Pierce, Franklin
Hobart, Garret
Peters, Gary C.
Miller, Gary G.
Taylor, Gene
Miller, George
Clymer, George 
Taylor, George 
Dallas, George M.
Shultz, George P.
Walden, Greg
Harper, Gregg
Sablan, Gregorio
Hamlin, Hannibal
Rogers, Harold
Teague, Harry
Truman, Harry S.
Shuler, Heath
Wilson, Henry
Waxman, Henry A.
Hoover, Herbert
Berman, Howard L.
McKeon, Howard P.
Forbes, J. Randy
Speier, Jackie
Martin, Jacob L.
Monroe, James
Wilson, James 
Byrnes, James F.
Blaine, James G.
Inhofe, James M.
Harman, Jane
Inslee, Jay
Miller, Jeff
Nadler, Jerrold
DeMint, Jim
Jordan, Jim
Cooper, Jim
Carter, Jimmy
Bonner, Jo
Wilson, Joe
Barton, Joe
Sestak, Joe
Ensign, John
Linder, John
Nelson, John
Graham, John
McCain, John
Barrow, John
Cornyn, John
Morton, John 
Larson, John B.
Dulles, John Foster
Duncan, John J.
Spratt, John M.
McHugh, John M.
Garner, John Nance
Murtha, John P.
Carter, John R.
Tanner, John S.
Foster, John W.
Tester, Jon
Castor, Kathy
Conrad, Kent
Morton, Levi P.
Graham, Lindsey
McLane, Louis
Kaptur, Marcy
Begich, Mark
Souder, Mark E.
Warner, Mark R.
Fallin, Mary
Kilroy, Mary Jo
Baucus, Max
Waters, Maxine
Hirono, Mazie K.
Arcuri, Michael A.
Bennet, Michael F.
Castle, Michael N.
Turner, Michael R.
McCaul, Michael T.
Rogers, Mike
Pelosi, Nancy
Rahall, Nick J.
Tiberi, Patrick J.
Murphy, Patrick J.
Murray, Patty
Roskam, Peter J.
Durbin, Richard
Shelby, Richard C.
Cooper, Richard N.
Larsen, Rick
Bishop, Rob
Wexler, Robert
Morris, Robert 
Wicker, Roger F.
Burris, Roland W.
Reagan, Ronald
Graves, Sam
Bishop, Sanford D.
Colfax, Schuyler
Capito, Shelley Moore
Bachus, Spencer
Israel, Steve
Myrick, Sue Wilkins
Kosmas, Suzanne M.
McKean, Thomas 
Bayard, Thomas Francis
Rooney, Thomas J.
Nelson, Thomas Jr. 
Carper, Thomas R.
Murphy, Tim
Holden, Tim
Bishop, Timothy H.
Tiahrt, Todd
Platts, Todd Russell
Latham, Tom
Harkin, Tom
Coburn, Tom
Franks, Trent
Ehlers, Vernon J.
Snyder, Vic
Herger, Wally
Hunter, William
Ellery, William 
Hooper, William 
Seward, William H.
Evarts, William M.
Rogers, William P.
Wilson, Woodrow
Clarke, Yvette D.
Taylor, Zachary
Lincoln, Abraham
Grayson, Alan
Barkley, Alben W.
Johnson, Andrew
Jackson, Andrew
Specter, Arlen
Sanders, Bernard
Clinton, Bill
Cassidy, Bill
Shuster, Bill
Lincoln, Blanche L.
Sherman, Brad
Guthrie, Brett
Higgins, Brian
Bilbray, Brian P.
Maloney, Carolyn B.
Braxton, Carter 
Schumer, Charles E.
Pingree, Chellie
Edwards, Chet
Stearns, Cliff
Webster, Daniel
Lungren, Daniel E.
Acheson, Dean
Cardoza, Dennis A.
Rehberg, Denny
DeGette, Diana
Edwards, Donna F.
Lamborn, Doug
Pomeroy, Earl
Johnson, Eddie Bernice
Everett, Edward
Kaufman, Edward E.
Kennedy, Edward M.
Cleaver, Emanuel
Paulsen, Erik
Pallone, Frank
Kellogg, Frank B.
Clinton, George
Walton , George 
Cuellar, Henry
Wallace, Henry A.
Johnson, Henry C.
Stimson, Henry L.
Clinton, Hillary Rodham
Skelton, Ike
Barrett, J. Gresham
Madison, James
Clyburn, James E.
Sherman, James S.
Altmire, Jason
Schmidt, Jean
Shaheen, Jeanne
Merkley, Jeff
Jackson, Jesse L.
Bunning, Jim
Gerlach, Jim
Emerson, Jo Ann
Sherman, John
Boozman, John
Fleming, John
Forsyth, John
Conyers, John
Shimkus, John
Hancock, John 
Yarmuth, John A.
Boehner, John A.
Shadegg, John B.
Calhoun, John C.
Dingell, John D.
Kennedy, John F.
Tierney, John F.
Clayton, John M.
Salazar, John T.
Isakson, Johnny
Serrano, Jose E.
Crowley, Joseph
Biggert, Judy
Conaway, K. Michael
Granger, Kay
Ellison, Keith
Calvert, Ken
Kissell, Larry
Boswell, Leonard L.
Lincoln, Levi
Sanchez, Linda T.
Doggett, Lloyd
Sanchez, Loretta
Gohmert, Louie
Johnson, Lyndon B.
Jenkins, Lynn
Woolsey, Lynn C.
Schauer, Mark H.
Hinchey, Maurice D.
Burgess, Michael C.
McMahon, Michael E.
Capuano, Michael E.
Michaud, Michael H.
Simpson, Michael K.
Coffman, Mike
Johanns, Mike
Tsongas, Niki
Coleman, Norm
Wolcott, Oliver 
Roberts, Pat
Kennedy, Patrick J.
McHenry, Patrick T.
DeFazio, Peter A.
Gingrey, Phil
Johnson, Richard Mentor
Boucher, Rick
Lansing, Robert
Andrews, Robert E.
Bennett, Robert F.
Wittman, Robert J.
Sherman, Roger 
DeLauro, Rosa L.
Johnson, Sam
Garrett, Scott
Berkley, Shelley
Herseth, Stephanie
Hopkins, Stephen 
Austria, Steve
Scalise, Steve
Rothman, Steven R.
Collins, Susan M.
Baldwin, Tammy
Cochran, Thad
Heyward, Thomas Jr. 
Johnson, Tim
Johnson, Timothy V.
Minnick, Walter
Mondale, Walter
Gresham, Walter Q.
Harding, Warren G.
Whipple, William 
Wheeler, William A.
Wharton, William F.
Derrick, William S.
Becerra, Xavier
Lofgren, Zoe
Jackson-Lee, Sheila
Akin, W. Todd
Clark, Abraham 
Smith, Adam
Smith, Adrian
Green, Al
Sires, Albio
Roybal-Allard, Lucille
Eshoo, Anna G.
Davis, Artur
Colby, Bainbridge
Obama, Barack
Boxer, Barbara
Frank, Barney
Lujan, Ben Ray
Posey, Bill
Baird, Brian
Young, C.W. Bill
Levin, Carl
Dawes, Charles G.
Smith, Christopher H.
Brown, Corrine
Vance, Cyrus
Boren, Dan
Brent, Daniel
Akaka, Daniel K.
Davis, Danny K.
Scott, David
Price, David E.
Moore, Dennis
Nunes, Devin
Titus, Dina
Young, Don
Payne, Donald M.
Towns, Edolphus
Royce, Edward R.
Gerry, Elbridge
Engel, Eliot L.
Massa, Eric J. J.
Stark, Fortney Pete
Lewis, Francis 
Lucas, Frank D.
Upton, Fred
Green, Gene
Davis, Geoff
Wythe, George 
Meeks, Gregory W.
Moore, Gwen
Brown, Henry E.
Solis, Hilda L.
Coble, Howard
Baker, James
Smith, James 
Himes, James A.
Risch, James E.
Moran, James P.
Polis, Jared
Flake, Jeff
Black, Jeremiah S.
Moran, Jerry
Lewis, Jerry
Costa, Jim
Biden, Joe
Kline, John
Lewis, John
Tyler, John
Thune, John
Adams, John 
Kerry, John F.
Adler, John H.
Adams, John Quincy
Olver, John W.
Hewes, Joseph 
Pitts, Joseph R.
Gregg, Judd
Hagan, Kay R.
Brady, Kevin
Smith, Lamar
Terry, Lee
Lance, Leonard
Morri,sLewis 
Davis, Lincoln
Capps, Lois
Fudge, Marcia L.
Berry, Marion
Udall, Mark
Pryor, Mark L.
Buren, Martin Van
Doyle, Michael F.
Honda, Michael M.
Crapo, Mike
Pence, Mike
Lowey, Nita M.
Dicks, Norman D.
Snowe, Olympia J.
Hatch, Orrin G.
Leahy, Patrick J.
Broun, Paul C.
Tonko, Paul D.
Hodes, Paul W.
Olson, Pete
Welch, Peter
Habib, Philip
Nixon, Richard
Olney, Richard
Lugar, Richard G.
Bacon, Robert
Smith, Robert
Brady, Robert A.
Scott, Robert C.
Latta, Robert E.
Casey, Robert P.
Paine, Robert Treat 
Wyden, Ron
Klein, Ron
Blunt, Roy
Hayes, Rutherford B.
Chase, Samuel 
Adams, Samuel 
Levin, Sander M.
Brown, Sherrod
Reyes, Silvestre
Ortiz, Solomon P.
Agnew, Spiro
Hoyer, Steny H.
Lynch, Stephen F.
Buyer, Steve
Kagen, Steve
Cohen, Steve
Davis, Susan A.
Stone, Thomas 
Petri, Thomas E.
Lynch, Thomas Jr. 
Udall, Tom
Price, Tom
Grant, Ulysses S.
George W. Bush
Jones, Walter B.
Floyd, William 
Bryan, William Jennings
Burns, William Joseph
Marcy, William L.
Space, Zachary T.
Hoekstra, Peter
Grijalva, Raul M.
Hinojosa, Ruben
Wamp, Zach
Reed, Jack
Brown-Waite, Ginny
Hall, Ralph M.
Farr, Sam
Polk, James K.
Fish, Hamilton
Wasserman Schultz, Debbie
Lieberman, Joseph I.
Lee, Francis Lightfoot 
Gillibrand, Kirsten E.
Napolitano, Grace F.
Klobuchar, Amy
Kirk, Mark Steven
Lee, Charles
Burr, Aaron
Hill, Baron P.
Issa, Darrell E.
Reid, Harry
Bono, Mary
Deal, Nathan
Ryan, Paul
Camp, Dave
Rusk, David Dean
Obey, David R.
Ruppersberger, C. A. Dutch
Voinovich, George V.
Lee, Richard Henry 
Rohrabacher, Dana
Brownback, Sam
Poe, Ted
Garfield, James A.
Feingold, Russell D.
Coolidge, Calvin
Rutledge, Edward 
Theodore, Frederick
McIntyre, Mike
Fillmore, Millard
Westmoreland, Lynn A.
Bean, Melissa L.
Watt, Melvin L.
Meek, Kendrick B.
Rush, Benjamin 
Nye, Glenn C.
Rush, Kenneth
Clay, Henry
Ross, George 
Read, George 
Bush, George H. W.
Kissinger, Henry
Alexander, Lamar
Slaughter, Louise McIntosh
Alexander, Rodney
Ford, Gerald
Kohl, Herb
Lautenberg, Frank R.
Fortenberry, Jeff
King, Peter T.
Cass, Lewis
Luetkemeyer, Blaine
Rodriguez, Ciro D.
Gutierrez, Luis V.
Velazquez, Nydia M.
Etheridge, Bob
Cao, Anh
Kucinich, Dennis J.
Randolph, Edmund
Heinrich, Martin
Griffith, Parker
Dent, Charles W.
Hare, Phil
Knox, Philander C.
Jay, John
Hay, John
Dodd, Christopher J.
Bond, Christopher S.
Frelinghuysen, Rodney P.
Mikulski, Barbara A.
Lipinski, Daniel
Boccieri, John A.
Radanovich, George
Enzi, Michael B.
Rush, Richard
Burr, Richard
Neal, Richard E.
Kilpatrick, Carolyn C.
Wu, David
Butterfield, G. K.
Ross, Mike
Paca, William 
Taft, William Howard
King, William R.
Webb, Jim
Ryan, Tim
Walz, Timothy J.
Feinstein, Dianne
Hensarling, Jeb
Bilirakis, Gus M.
Stettinius, Edward
Loebsack, David
Murkowski, Lisa
Kanjorski, Paul E.
Fairbanks, Charles W.
Hendricks, Thomas A.
Visclosky, Peter J.
Gore, Al
Pascrell, Bill
Kratovil, Frank
Marshall, George Catlett
Mitchell, Harry E.
Marshall, Jim
Marshall, John
Campbell, John
Cantwell, Maria
Marshall, Thomas R.
Stoessel, Walter John
Carrol,lCharles 
Diaz-Balart, Lincoln
Diaz-Balart, Mario
Whitfield, Ed
Van Hollen, Chris
Haig, Alexander
Root, Elihu
McCaskill, Claire
McConnell, Mitch
Boyd, Allen
Rockefeller, John D.
Rockefeller, Nelson
Day, William R.
Perriello, Thomas S.P.
Roosevelt, Franklin D.
Roosevelt, Theodore
Adee, Alvey A.
McCollum, Betty
Clay, Wm. Lacy
Abercrombie, Neil
Kyl, Jon
Mollohan, Alan B.
Harrison, Benjamin
Franklin, Benjamin 
Thompson, Bennie G.
Melancon, Charlie
Peterson, Collin C.
Ackerman, Gary L.
Thompson, Glenn
Kingston, Jack
Buchanan, James
Hamilton, James Alexander
McGovern, James P.
Langevin, James R.
Bingaman, Jeff
Matheson, Jim
Sullivan, John
Thornton, Matthew 
Bachmann, Michele
Thompson, Mike
Stockton, Richard 
Carnahan, Russ
Buchanan, Vern
Harrison, William Henry
Cleveland, Grover
Washburne, Elihu B.
Pickering, Timothy
Christensen, Donna M.
Manzullo, Donald A.
LoBiondo, Frank A.
Costello, Jerry F.
Barrasso, John
Bordallo, Madeleine Z.
Rush, Bobby L.
Byrd, Robert C.
McClintock, Tom
Baca, Joe
Hart, John 
Penn, John 
Hall, John J.
Mica, John L.
Cole, Tom
Paul, Ron
Kind, Ron
Stevenson, Adlai E.
Middleton, Arthur 
Halvorson, Deborah L.
Hopkinson, Francis 
Culberson, John Abney
Hutchison, Kay Bailey
Jefferson, Thomas
Rice, Condoleezza
Mack, Connie
Hull, Cordell
Grew, Joseph
Dahlkemper, Kathleen A.
Christopher, Warren
Christopher, Warren Minor
Witherspoon, John 
Chandler, Ben
Tauscher, Ellen O.
Oberstar, James L.
Schrader, Kurt
McCotter, Thaddeus G.
Polk, Frank
Wolf, Frank R.
